mean_power,std_power,peak_power,papr_db,crest_factor,skewness,kurtosis,spectral_peak_db,spectral_peak_freq,spectral_centroid,spectral_flatness,spectral_bandwidth,band_energy_0,band_energy_1,band_energy_2,band_energy_3,band_energy_4,band_energy_5,band_energy_6,band_energy_7,label,file
9.75E-05,9.38E-05,0.000723063,8.703152795,3.039296693,0.724401424,2.700516842,29.88492692,0.000610352,-0.008075878,0.224501839,0.174949915,0.038448106,0.067464673,0.060163267,0.059909411,0.636435108,0.04876573,0.050434148,0.038379557,idle,trace_idle_20250505_164203.cfile
0.000122991,9.55E-05,0.000589025,6.802603767,2.373720004,0.285796763,2.401347358,30.71199187,0.000610352,-0.008565746,0.215551419,0.171590503,0.041289753,0.062224704,0.053658264,0.059328913,0.655031514,0.044755118,0.046724555,0.036987179,idle,trace_idle_20250505_164203.cfile
0.000121914,9.54E-05,0.000851134,8.439443511,2.86463083,0.326965224,2.561545714,30.69498539,0.000610352,-0.008310301,0.214998064,0.169704377,0.041973076,0.0587308,0.055334503,0.053668563,0.661947654,0.049611783,0.044149251,0.03458437,idle,trace_idle_20250505_164203.cfile
0.000117287,9.36E-05,0.00070685,7.800757359,2.668681103,0.371180991,2.44621303,30.48717342,0.000610352,-0.006505353,0.218812851,0.171495212,0.037547078,0.063731578,0.056291001,0.056563487,0.655166458,0.044370815,0.047881934,0.038447649,idle,trace_idle_20250505_164203.cfile
0.000124228,9.80E-05,0.000771158,7.929247034,2.703838202,0.345429224,2.533276162,30.84232362,0.000610352,-0.009504504,0.207667503,0.16643364,0.038702437,0.061462565,0.055348347,0.053424316,0.670252303,0.043579271,0.044768399,0.032462362,idle,trace_idle_20250505_164203.cfile
0.000123782,9.88E-05,0.00092596,8.739347915,2.970125063,0.383088292,2.630504198,30.72941372,0.000610352,-0.007272792,0.218883965,0.17043723,0.038495862,0.060911607,0.056146591,0.059313846,0.653551973,0.046531512,0.048970406,0.036078203,idle,trace_idle_20250505_164203.cfile
0.000126691,9.84E-05,0.000707013,7.466815878,2.561211175,0.292471208,2.485332534,30.9580492,0.000610352,-0.005213654,0.212437636,0.168953151,0.037839123,0.057855487,0.05507796,0.054124454,0.667223839,0.042546952,0.047677496,0.037654689,idle,trace_idle_20250505_164203.cfile
0.000122891,9.59E-05,0.000813993,8.211009764,2.790122964,0.318254909,2.524974891,30.86534352,0.000610352,-0.009153541,0.210418514,0.16714834,0.037390063,0.061773763,0.055795025,0.053129977,0.671455068,0.043193088,0.043104861,0.034158153,idle,trace_idle_20250505_164203.cfile
0.000126625,9.97E-05,0.00092596,8.640732546,2.933012637,0.34548876,2.630163124,30.98129044,0.000610352,-0.00711985,0.199718561,0.163944066,0.037868458,0.054562699,0.051971376,0.055706978,0.68121043,0.042244667,0.041564911,0.034870481,idle,trace_idle_20250505_164203.cfile
0.000124908,9.89E-05,0.000771158,7.905528862,2.696101349,0.371163632,2.542083508,30.9469088,0.000610352,-0.006286695,0.206526121,0.166023339,0.03532763,0.057941303,0.052455151,0.055991096,0.676261045,0.04144565,0.045074937,0.035503188,idle,trace_idle_20250505_164203.cfile
